Email,LeftParen,LeftSquareParen,Exclamation,Dollar,PercentSign,AvgAllCap,LongAllCap,TotalAllCap,Spam
594,0.16,0,0.03,0.12,0,1.96,14,302,Yes
595,0,0,0.27,0,0,11.04,110,309,Yes
596,0.12,0,0.39,0.24,0.02,9.83,164,1592,Yes
599,0.39,0,3.33,0,0,2.55,12,74,Yes
602,0.06,0,0.61,0.18,0,2.68,13,75,Yes
603,0.19,0,0.19,0,0.1,1.53,10,58,Yes
604,0.19,0,1.72,0.06,0,5.18,63,621,Yes
605,0.18,0,0.36,0.4,0.13,5.77,56,358,Yes
606,0.11,0,0.32,0.11,0.11,3.85,30,150,Yes
607,0,0,0,0,0.45,14.5,42,87,Yes
609,0.27,0,0.13,0,0,2.32,16,72,Yes
611,0.17,0,0.27,0.13,0,4.22,144,666,Yes
612,0,0,0.43,0.36,0,2.38,16,133,Yes
614,0.17,0,0.27,0.13,0,4.22,144,666,Yes
616,0,0,2.12,0.07,0,2.65,14,114,Yes
617,0.16,0,0.39,0.18,0.08,2.61,75,391,Yes
618,0,0,0,0,0,2.31,16,30,Yes
619,0,0,1.1,0.11,0,1.92,12,69,Yes
621,0,0,0.13,0,1.13,7.05,37,261,Yes
622,0,0,0.22,0,0,1.1,6,54,Yes
623,0,0,0,0,0,2.77,15,36,Yes
624,0,0.19,0.4,0.22,0.03,4.29,49,870,Yes
625,0.11,0,0.11,0,0,1.25,4,50,Yes
626,0.27,0,0.19,0.25,0,2.32,19,365,Yes
628,0.13,0,0,0,0,3.93,51,106,Yes
629,0.12,0,0.41,0.89,0.18,3,33,177,Yes
630,0,0,0.77,0,0,2.48,11,134,Yes
631,0,0.26,0.93,0.38,0.03,3.18,56,1043,Yes
633,0.08,0,0.45,0.53,0.12,6.15,260,2184,Yes
634,0,0,0,0,0,2.69,15,35,Yes
635,0.03,0,0.17,0.03,0.06,7.53,149,956,Yes
636,0.05,0,1.07,0,0,3.93,61,291,Yes
637,0.13,0,1.29,0.04,0,3.98,47,386,Yes
640,0,0,0.98,0.09,0,3.49,59,157,Yes
641,0,0,0.43,0.36,0,2.4,16,137,Yes
642,0.07,0,0.47,0.47,0,3,19,108,Yes
643,0.14,0,0.43,0.14,0,140,279,280,Yes
644,0,0,0.07,0.29,0.14,7.51,114,293,Yes
645,0,0,1.34,0,0,5.25,16,84,Yes
646,0,0,0.26,0,0,4.18,26,46,Yes
647,0.14,0,0.43,0.14,0,92.33,274,277,Yes
648,0,0,1.15,0,0,9.1,33,91,Yes
649,0,0,0.37,0,0.04,7.14,149,1235,Yes
651,0.13,0,0,0.06,0,4.3,30,159,Yes
652,0.07,0,0.67,0.3,0,3.67,82,165,Yes
653,0.05,0,0.48,0,0,4.27,121,312,Yes
654,0.12,0,1.34,0,0,6.61,51,238,Yes
655,0.12,0,0.41,0.46,0.35,6.93,43,513,Yes
656,0,0,0.16,1.31,0,2.57,20,36,Yes
658,0.27,0,0.37,0.16,0,1.89,14,161,Yes
659,0.02,0,0.35,0.02,0.04,5.94,149,1057,Yes
660,0.1,0,0.4,0.1,0,2.33,11,70,Yes
661,0.25,0,0.62,0.06,0.06,3.9,59,160,Yes
662,0,0,0,0,0,1,1,3,Yes
663,0,0,0.58,0,0.07,5.42,132,991,Yes
664,0.06,0,0.31,0.67,0.13,5.46,193,3243,Yes
665,0.17,0,0.23,0,0,4.6,60,262,Yes
666,0.05,0,0.73,0.18,0,4.34,60,243,Yes
667,0.28,0,0.05,0,0,1.66,6,118,Yes
669,0.12,0,0.34,0.05,0,3.5,79,606,Yes
670,0,0,0.02,0.02,0.89,12.45,107,1096,Yes
672,0.04,0,0.25,0.89,0.01,4,70,640,Yes
673,0,0,0.9,0.11,0,664,1327,1328,Yes
674,0.13,0,0.27,0,0,3.12,19,81,Yes
675,0,0,1.11,0,0,1.41,10,31,Yes
676,0.12,0.02,0.03,0,0,16.64,154,9088,Yes
677,0.17,0,0.51,0.11,0,2.95,44,189,Yes
678,0.08,0,0.64,0.16,0,2.52,14,111,Yes
679,0,0.26,0.99,0.39,0.03,3.17,56,1044,Yes
680,0.12,0.02,0.03,0,0,16.59,154,9090,Yes
681,0.06,0,0.64,0.17,0.18,3.7,117,3498,Yes
685,0,0,0.23,0.2,0.33,8.76,102,1481,Yes
686,0.01,0,1.13,0.08,0.01,3.38,77,707,Yes
687,0.08,0,0.45,0.54,0.12,6.31,286,2207,Yes
688,0.04,0.07,0.34,0.14,0,3.31,181,1613,Yes
690,0.09,0,0.32,0,0,2.15,18,86,Yes
691,0.18,0,0,0,0,1.02,3,86,Yes
692,0,0,0.11,0,0,2.26,24,86,Yes
693,0.44,0,1.1,0,0.44,3.57,36,125,Yes
694,0,0,3.85,0,0,13.27,70,199,Yes
695,0.05,0,0.05,0.11,0,2.89,27,127,Yes
697,0.02,0.07,0.25,0.05,0.05,6.16,350,727,Yes
698,0,0,0.59,0.22,0.04,11.46,525,1112,Yes
699,0.11,0,0.49,0.16,0.02,8.55,669,1351,Yes
701,0,0.26,0.97,0.4,0.03,3.16,56,1028,Yes
702,0,0,0,0,1.12,17.48,49,472,Yes
703,0,0.26,0.13,0,0,1.78,11,105,Yes
704,0.25,0,0.18,0.67,0,2.92,113,640,Yes
705,0,0.27,0.98,0.4,0.03,3.16,56,1046,Yes
707,0.1,1.17,0.24,0.39,0,26.41,363,977,Yes
710,0.18,0,0.85,0.08,0,3.22,114,499,Yes
712,0.79,0,0.17,0.45,0.11,9.64,259,723,Yes
713,0.1,0,0.21,0.21,0,4.17,76,292,Yes
714,0,0,0.15,0.15,0,4.04,54,194,Yes
715,0.25,0,0.18,0.67,0,2.92,113,640,Yes
716,0,0,0.14,0.29,0,3.75,54,191,Yes
717,0,0,0.33,0,0,3.21,22,45,Yes
718,0.04,0.04,1.36,0.04,0,5.24,111,576,Yes
719,0,0,0.12,0,0,2.08,12,104,Yes
720,0,0,0.86,0.1,0,337.25,1146,1349,Yes
721,0,0,0.86,0.1,0,337.25,1146,1349,Yes
723,0.11,0,0.49,0.16,0.02,8.55,669,1351,Yes
725,0.13,0,0.25,0.22,0.03,5.87,581,1339,Yes
726,0.34,0,0.34,0.17,0,2.24,15,38,Yes
727,0.11,0,0.28,0.83,0.17,3.8,33,228,Yes
728,0,0,0.12,0,0,1.94,12,97,Yes
729,0,0,0,0,0,1.06,3,38,Yes
731,0,0,0.33,0,0,1.74,48,141,Yes
732,0.05,0,0.01,0.16,0.03,2.05,51,521,Yes
733,0,0,0.53,0.41,0,3.96,132,222,Yes
735,0,0,0.28,0.22,0.84,8.52,58,895,Yes
737,0.37,0,0.12,0.12,0,1.78,12,114,Yes
738,0,0,0.31,0,0,1.9,48,163,Yes
739,0,0,1.84,0,0,3.29,19,92,Yes
740,0,0,0,0.04,0,2.78,21,164,Yes
741,0.08,0.08,0,0,0,1.97,11,124,Yes
742,0.39,0,0.22,0.06,0,2.26,17,158,Yes
743,0.25,0,0,0,0,2.82,23,110,Yes
744,0,0,0.07,0,1.05,9.27,89,482,Yes
745,0.11,0,0.02,0,0,1.73,12,204,Yes
746,0,0,0.68,0.83,0.15,4.33,52,429,Yes
747,0.09,0,0.43,0.14,0.01,8.45,696,1478,Yes
748,0,0,0,0,0,1,1,2,Yes
749,0.39,0,0.23,0.06,0,2.26,17,158,Yes
751,0.14,0,0.19,0,3.42,6.58,56,349,Yes
752,0,0,0.29,0,0,2.44,8,44,Yes
753,0.08,0,0.43,0.43,0,2.38,19,247,Yes
754,0.05,0,0.1,0,0.1,5.85,137,234,Yes
755,0,0,0.08,0.11,0.05,2,32,260,Yes
756,0,0,0.08,0.1,0.05,2.03,32,264,Yes
758,0.12,0,0.44,0.93,0.19,2.93,33,173,Yes
760,0.49,0.2,0.39,0,0.39,3.54,22,237,Yes
761,0,0,0.08,0.11,0.05,2.02,32,258,Yes
763,0,0,0,0,0,11.07,73,166,Yes
764,0.09,0,0.37,0.05,0,14.58,97,452,Yes
765,0,0,0,0,0,10.53,65,158,Yes
766,0.04,0,0.34,0.16,0.01,4.14,74,753,Yes
767,0,0,0.22,0,0,1.1,6,54,Yes
769,0.08,0,0,0.03,1.63,2.33,11,363,Yes
770,0.05,0,0.02,0.16,0,1.8,12,460,Yes
771,0,0,0.22,0,0.54,7.55,43,506,Yes
772,0.3,0,0.3,0,0,2.79,19,131,Yes
774,0.08,0,0.08,0,0,1.39,11,75,Yes
775,0,0,1.18,0.12,0,1.8,12,63,Yes
776,0.29,0,0.07,1.46,0.07,2.63,12,179,Yes
777,0.26,0,0.06,0.13,0,2.22,23,113,Yes
778,0.47,0,0,0,0,2.37,12,197,Yes
780,0,0,0,0.25,1.99,3.15,12,63,Yes
781,0.05,0,0.01,0.17,0,1.79,12,453,Yes
782,0,0,0,0,0,2.4,14,24,Yes
785,0.12,0,0.92,0.35,0,1.83,11,55,Yes
787,0.15,0,0.03,0.12,0,1.99,14,306,Yes
788,0.05,0.03,0.25,0.03,0.03,3.82,69,542,Yes
789,0.05,0.03,0.25,0.03,0.03,3.82,69,542,Yes
790,0,0,0.35,0,0,1.33,5,53,Yes
793,0.18,0,0.61,0,0.12,9.22,51,507,Yes
794,0.2,0,0.61,0.23,0.05,9.65,151,888,Yes
795,0.19,0,0.06,0.06,0,2.15,53,532,Yes
796,0.4,0,0.13,0,0,3.07,14,92,Yes
797,0.05,0.03,0.24,0.03,0.03,3.76,69,530,Yes
798,0.24,0,0.24,0.19,0,5.62,124,298,Yes
800,0,0,0.24,0.24,0,2.23,19,96,Yes
803,0.07,0,0.41,0.12,0.01,7.55,669,1412,Yes
807,0,0,0.9,0.11,0,443.67,1325,1331,Yes
808,0.44,0,0.22,0.67,0,3.81,15,61,Yes
810,0.26,0,1.74,0.17,0.09,56.54,636,735,Yes
813,0.07,0,0.41,0.12,0.01,7.55,669,1412,Yes
814,0,0,0,0,0,8.73,42,131,Yes
816,0,0,0,0.18,0,8.16,31,253,Yes
817,0.08,0,0.46,2.33,0.11,6.6,266,2370,Yes
818,0.08,0,0.13,0.06,0.02,4.47,74,675,Yes
819,0.05,0,0.16,0,0.11,6.11,139,275,Yes
820,0.25,0,1.69,0.17,0.08,57.08,634,742,Yes
821,0.25,0,1.68,0.17,0.08,57.08,634,742,Yes
822,0.05,0.03,0.26,0.03,0.03,3.69,69,535,Yes
824,0,0,0.98,0,0.29,8.48,68,356,Yes
827,0,0,0.88,0.11,13.13,2.08,12,52,Yes
829,0.07,0,0.45,0.52,0.12,6.03,136,2213,Yes
830,0.06,0,0.12,0.28,0.03,3.77,46,268,Yes
831,0,0,0.4,0,0,22.71,149,159,Yes
833,0.19,0,0.1,0.48,0,5.04,60,131,Yes
834,0.19,0,0.1,0.48,0,5.04,60,131,Yes
835,0.19,0,0.09,0.47,0,5.04,60,131,Yes
837,0.14,0,0.14,0.14,0,2.7,11,54,Yes
838,0.08,0,1.3,0.13,0,5.24,97,650,Yes
839,0.15,0,0.46,0,0,2.84,10,54,Yes
840,0.08,0,1.3,0.13,0,5.24,97,650,Yes
841,0.17,0,0,0.17,0,1.69,19,157,Yes
842,0,0,0,0.22,1.72,3.53,13,60,Yes
843,0.1,0,0.34,0.16,0,6.76,494,1426,Yes
844,0.03,0,0.02,0,0,24.38,135,3315,Yes
846,0,0,0.42,0,0,6.28,46,182,Yes
848,0.09,0,0.29,0.11,0,4.74,117,1342,Yes
849,0,0,0.84,0,0,2,19,106,Yes
850,0,0,2.22,1.22,0,107.4,412,537,Yes
851,0,0,2.25,1.24,0,105.8,404,529,Yes
852,0.14,0,0.33,0.18,0.03,7.44,689,1287,Yes
853,0,0,1.24,0,0,4.47,10,134,Yes
854,0.44,0,0.44,0.66,0,4.07,17,61,Yes
856,0.17,0,0.17,0,0,1.79,7,59,Yes
857,0.17,0,0.17,0,0,1.79,7,59,Yes
859,0,0,0,0,0,2.06,5,35,Yes
860,0.14,0,0.33,0.16,0,6.81,494,1458,Yes
861,0.05,0,0.02,0.06,0,1.92,29,339,Yes
862,0.06,0,0.01,0.1,0,1.87,14,521,Yes
863,0.1,0,0.61,0.01,0,3.71,127,875,Yes
864,0,0,0.37,0.55,0,1.58,7,79,Yes
865,0,0,0.24,0.24,1.88,6.27,41,94,Yes
866,0.29,0,0.88,0.18,0.06,5.99,58,425,Yes
867,0.29,0,0.88,0.18,0.06,5.99,58,425,Yes
868,0,0,4.73,0,0,2.67,11,24,Yes
869,0.03,0,0,0,0,1.56,10,145,Yes
870,0.05,0,0.02,0.16,0.03,2.09,51,536,Yes
871,0.4,0.11,0.18,0.15,0,3.79,26,364,Yes
872,0,0,1.2,0.51,0,3.34,64,267,Yes
873,0.11,0,1.6,0.15,0,4.95,102,564,Yes
874,0.23,0,0.09,0.12,0,2.41,50,368,Yes
875,0.22,0,0,0.19,0.15,3.38,21,264,Yes
876,0,0,7.84,0,0,1.67,5,15,Yes
879,0.25,0,1.66,0.25,0.08,49.87,636,748,Yes
880,0.25,0,1.69,0.17,0.08,57.23,636,744,Yes
881,0.15,0,2.14,0.61,0.46,10.13,54,162,Yes
882,0.1,0,0.13,0.07,0.17,3.45,74,972,Yes
883,0,0,0,0.2,0,5.18,25,57,Yes
884,0,0,0.86,0,0,12.15,272,571,Yes
886,0.25,0,1.68,0.17,0.08,57.23,636,744,Yes
887,0.07,0,0,0,0,2.25,12,144,Yes
888,0.07,0,0,0,0,2.25,12,144,Yes
889,0,0,0.9,0.11,0,667,1333,1334,Yes
891,0.14,0,0.57,0,0,2.9,28,87,Yes
893,0.12,0,0.24,0.06,0,2.93,29,211,Yes
894,0.27,0.05,0,0,0,2,14,178,Yes
895,0.08,0,0.43,0.57,0.11,5.76,131,2224,Yes
896,0.06,0,0.06,0.11,0,2.36,32,125,Yes
897,0.29,0,0.77,0,0,11.69,296,409,Yes
899,0.19,0,0.58,0.29,0.58,2.31,35,291,Yes
901,0,0,0,0.21,0,4.5,25,54,Yes
902,0,0,0.7,0.35,0,1.43,6,33,Yes
903,0.2,0,0.82,0,0,4.84,42,363,Yes
906,0.08,0,0.43,0.43,0,2.44,19,249,Yes
907,0.18,0,0,0.18,0,3.55,21,78,Yes
908,0.17,0,0.36,0.19,0.08,2.85,75,447,Yes
909,0,0,0.24,0,0.15,9.58,332,508,Yes
910,0.17,0,1.01,0,0,2.89,12,52,Yes
911,0.08,0,0.45,0.52,0.14,6.59,739,2333,Yes
912,0.06,0.45,0.3,0.15,0.03,11.96,376,909,Yes
914,0,0,0,0.21,0,4.5,25,54,Yes
915,0,0,0,0.17,0,2.59,32,70,Yes
916,0,0,1.15,0.52,0,3.89,78,249,Yes
917,0,0,0.17,0.34,0,4.58,17,119,Yes
918,0.11,0,0,0.17,0,1.49,10,139,Yes
919,0.09,0,0.17,0.17,0.44,9.19,126,937,Yes
920,0,0,0.48,0,0,2.87,44,175,Yes
921,0.11,0,0,0.17,0,1.49,10,139,Yes
922,0.11,0,0,0.17,0,1.49,10,139,Yes
923,0,0,0.79,0.34,0,2.63,22,113,Yes
924,0.13,0,0.6,0.13,1.07,10.58,108,603,Yes
925,0,0,0.68,0.34,0,2.56,22,115,Yes
926,0,0,0.42,0.14,0,1.94,11,93,Yes
927,0.15,0,0.15,0.07,0,2.59,44,150,Yes
929,0,0,0.68,0.34,0,2.56,22,115,Yes
930,0.12,0,0.12,0,0,4.04,43,113,Yes
931,0.09,0,0.36,0.52,0.14,6.19,122,2227,Yes
932,0.15,0,1.02,0.22,0,3.35,59,134,Yes
933,0,0,0.23,0,0,4.18,41,71,Yes
934,0,0,0.37,0,0,3.54,21,46,Yes
935,0.14,0,0.56,0,0,2.9,28,87,Yes
936,0.19,0,0.19,0.06,0,10.59,124,434,Yes
937,0.07,0.07,0,0,0,2.13,11,102,Yes
938,0.14,0,0.57,0,0,2.9,28,87,Yes
939,0.1,0,0.09,0.08,0.01,4.91,95,1312,Yes
941,0.15,0,0.46,0,0,2.75,10,55,Yes
942,0.15,0,0.76,0,0,2.75,10,55,Yes
943,0,0,1.01,0.06,0,295,1177,1180,Yes
945,0,0,1.01,0.06,0,589,1177,1178,Yes
947,0.2,0,0.03,0,0,2.59,15,277,Yes
948,0,0.1,0.52,0,0,1.69,11,71,Yes
949,0.21,0,0.03,0,0,3.17,15,339,Yes
950,0.2,0,0.03,0,0,2.59,15,277,Yes
951,0.05,0,0.14,0,0.1,5.4,139,281,Yes
952,0.11,0,0,0.17,0,1.49,10,139,Yes
953,0.07,0,0.44,0.12,0.01,7.5,669,1402,Yes
954,0,0,2.08,0,0.13,12.18,338,621,Yes
955,0,0,0,0,0,10.69,65,139,Yes
956,0,0,0,0,0,10.69,65,139,Yes
957,0,0,0,0,0,10.69,65,139,Yes
958,0.15,0,0.74,0,0,2.67,21,139,Yes
959,0,0,0,0,0,1.68,15,57,Yes
961,0.04,0.09,0.18,0.04,0.35,8.27,69,885,Yes
964,0,0,0.11,0.02,0.02,3.92,489,3271,Yes
965,0,0,0.36,0.12,0,2.32,12,132,Yes
966,0,0,0.36,0.12,0,2.32,12,132,Yes
967,0.34,0,0,0,0,2.33,14,119,Yes
968,0.05,0.1,0.14,0.05,0.38,2.35,13,273,Yes
969,0.34,0,0,0,0,2.33,14,119,Yes
970,0.06,0,0.52,0.29,0.14,4.33,84,446,Yes
971,0.11,0,1.05,0.04,0,4.02,97,543,Yes
972,0,0,0.24,0,0,3.18,38,242,Yes
973,0.11,0,1.05,0.04,0,4.02,97,543,Yes
974,0.05,0,1.15,0.19,0.19,11.74,489,622,Yes
975,0,0,0.39,0.13,0.26,2.15,7,43,Yes
977,0.35,0.05,0.13,0.11,0.03,5.22,57,1038,Yes
978,0.23,0,0.46,0.5,0,2.93,64,578,Yes
979,0,0,0.47,0.27,0.97,9.05,58,869,Yes
980,0.1,0,0.52,0.31,0,2.51,22,113,Yes
981,0,0,0,0.17,0,2.59,32,70,Yes
982,0.07,0,0.37,0.07,0.07,2.34,27,103,Yes
983,0.08,0,0.31,0.11,0,2.55,34,237,Yes
984,0,0,0.27,0.09,1.15,11.07,67,332,Yes
985,0,0,0,0.21,0,4.82,25,53,Yes
986,0,0,0.59,0,1.47,7,35,273,Yes
987,0,0,1.71,0.2,0,4.28,38,137,Yes
988,0,0,0.2,0,0.15,9.27,332,556,Yes
989,0.04,0,0.13,0,0.09,4.6,139,276,Yes
990,0.15,0.05,0.39,0.44,0.1,3.32,61,319,Yes
991,0.37,0,0.37,0,0,3.1,28,96,Yes
992,0.11,0,0.49,0.16,0.02,8.55,669,1351,Yes
993,0,0,0.26,0,0.65,13.5,86,189,Yes
994,0.1,0,1.11,0.2,0,12.9,155,271,Yes
995,0.13,0,0.31,0.06,0,1.48,8,65,Yes
996,0.27,0,0.2,0,0,15.89,226,445,Yes
997,0.27,0,0.2,0,0,15.89,226,445,Yes
998,0.27,0,0.2,0,0,15.89,226,445,Yes
1000,0.24,0,1.63,0.16,0.08,69.73,706,767,Yes
1001,0.24,0,1.63,0.24,0.08,64.42,708,773,Yes
1002,0.25,0,1.63,0.25,0.08,64.42,708,773,Yes
1003,0,0,0.53,0.13,0.13,6.4,76,301,Yes
1005,0,0,0,0.21,0,4.82,25,53,Yes
1008,0.07,0,1.25,0.22,0,5.92,91,219,Yes
1009,0.33,0,1.2,0.47,0.07,18.4,393,736,Yes
1011,0,0,1.27,0.25,0,6.06,63,109,Yes
1012,0.09,0,0.18,0,0,1.77,17,94,Yes
1015,0.04,0,5.84,1.31,0,5.96,54,757,Yes
1016,0.33,0,1.2,0.47,0.07,18.4,393,736,Yes
1017,0.1,0,0.38,0.05,0.03,2.27,49,427,Yes
1018,0.15,0,0.09,0,0,1.54,18,208,Yes
1019,0.1,0,0.13,0.04,0.14,3.29,74,1030,Yes
1020,0.14,0,0.57,0,0,2.88,18,75,Yes
1023,0.07,0,0.48,0.9,0,6.77,78,325,Yes
1024,0.27,0,0.67,0.4,0,2.79,29,109,Yes
1025,0,0.14,0.05,0.34,1.23,14.88,79,1622,Yes
1026,0.11,0,0.49,0.16,0.02,8.55,669,1351,Yes
1027,0.27,0,0.82,0,0,2.82,29,107,Yes
1028,0,0,0.8,0.27,0,2,16,36,Yes
1030,0,0,0.54,0.27,0,5.79,47,272,Yes
1031,0.11,0,0,0.17,0,1.49,10,139,Yes
1033,0.07,0,0.49,0.12,0.01,7.56,669,1414,Yes
1035,0,0,0.87,0.05,0.05,5.58,61,374,Yes
1036,0.07,0,0.66,0.13,0.07,8.67,123,442,Yes
1037,0.65,0,1.94,0,0,8.46,30,110,Yes
1038,0,0,0.61,0.61,0,3.11,10,28,Yes
1039,0.05,0,0,0,0,1.49,19,82,Yes
1040,0.14,0,0.57,0,0,2.9,28,87,Yes
1041,0,0,0.38,0.06,0,2.02,12,95,Yes
1042,0,0,1.24,0,0,2.47,9,89,Yes
1043,0,0,0.3,0,0.04,19.48,694,1130,Yes
1044,0.05,0,0.56,0.05,0.03,1.69,23,432,Yes
1045,0.27,0,0.8,0,0,2.47,17,37,Yes
1046,0.17,0,0,0.17,1.34,3.5,13,77,Yes
1047,0.08,0,0.5,0,0.08,16.3,148,375,Yes
1048,0,0.26,0.98,0.4,0.03,3.19,56,1042,Yes
1050,0,0,0,0.21,0,4.82,25,53,Yes
1051,0.34,0,0.51,0.17,0.17,10.63,140,170,Yes
1053,0.25,0.06,0,0.12,0.19,4.79,23,302,Yes
1054,0.05,0,0,0.27,0,1.67,14,162,Yes
1055,0.05,0,0.01,0.17,0,1.77,12,447,Yes
1057,0.07,0,0.48,0.55,0,3.17,19,114,Yes
1059,0,0.26,0.98,0.4,0.03,3.17,56,1045,Yes
1062,0.53,0.33,0.2,0,0,5.02,18,261,Yes
1063,0,0,0.12,0,0,2.08,12,104,Yes
1064,0,0,0.54,0,0,1.78,5,16,Yes
1065,0.06,0,0.47,0.09,0.02,2.09,104,703,Yes
1066,0.17,0,0.17,0.17,0.17,9.41,128,160,Yes
1067,0.87,0,2.89,0.87,0,5.61,25,157,Yes
1068,0,0,0.26,0,0,2.83,20,65,Yes
1069,0.22,0,1.15,0.06,0,4.93,63,621,Yes
1070,0.04,0,5.21,0.98,0,5.78,54,740,Yes
1072,0.05,0,0.01,0.16,0,1.79,12,454,Yes
1073,0.04,0,0.49,0.04,0,2.12,19,227,Yes
1074,0,0,0.51,0,0,2.91,20,64,Yes
1075,0.17,0,0.5,0,0.08,16.78,148,386,Yes
1076,0.17,0,0.5,0,0.08,16.83,148,387,Yes
1078,0,0,0.38,0.06,0,2.04,12,96,Yes
1079,0.18,0,0,0.18,0.18,11.71,140,164,Yes
1080,0.16,0,0.49,0,0.08,15.16,148,379,Yes
1081,0.07,0,0.21,0,0,2.29,32,477,Yes
1082,0.26,0,0.13,0.2,0,7.4,75,629,Yes
1083,0.1,0,0.39,0.05,0.02,2.26,49,428,Yes
1085,0.11,0,0,0.16,0.05,1.52,10,144,Yes
1086,0.11,0,0,0.16,0.05,1.52,10,144,Yes
1087,0.05,0,0.01,0.17,0,1.84,13,467,Yes
1088,0,0,1.09,0.23,0.08,5.17,58,186,Yes
1089,0.07,0,0.48,0.55,0,3.17,19,114,Yes
1091,0,0,0.23,0,0.23,9.5,84,323,Yes
1092,0,0,0,0,0,1.2,2,12,Yes
1093,0.09,0.03,0.09,0.01,0,4.16,48,1140,Yes
1094,0.09,0.03,0.09,0.01,0,4.16,48,1140,Yes
1095,0.06,0,0.64,0.17,0,2.17,8,89,Yes
1097,0,0,0.07,0,1.08,7.86,45,440,Yes
1098,0.07,0,0.13,0.07,0,2.7,30,192,Yes
1099,0,0,0.21,1.49,0,29.13,223,233,Yes
1100,0,0,0.59,0.16,0,86.7,1038,1734,Yes
1101,0.15,0,0.29,0,0,3,38,75,Yes
1103,0.08,0,0.13,0,0,7,137,826,Yes
1104,0.06,0,0.88,0.19,0,4.08,78,253,Yes
1105,0,0,1.8,0.51,0,1.82,11,62,Yes
1106,0.06,0,0.96,0.11,0.17,2.62,47,139,Yes
1108,0.63,0,0.63,0.94,0,2.94,9,53,Yes
1110,0,0,0.28,0,0,2.95,18,59,Yes
1111,0,0,0.83,0,0,1.38,3,11,Yes
1112,0,0,0,0,0.29,25.22,180,1261,Yes
1113,0.14,0.05,0.19,0.14,0,2.04,31,196,Yes
1114,0,0,1.33,0,0,2.2,11,44,Yes
1115,0.04,0.07,0.38,0.14,0,3.34,181,1955,Yes
1116,0.14,0.05,0.19,0.14,0,2.03,31,199,Yes
1117,0,0,0.24,0.24,0,3.34,123,207,Yes
1118,0.12,0,0.37,0,0,6.14,54,313,Yes
1119,0.21,0,0,0.21,0.05,1.75,11,185,Yes
1120,0.21,0,0,0.21,0.05,1.74,11,186,Yes
1121,0,0,0.1,0,0,1.44,11,161,Yes
1122,0.07,0,0.33,0.52,0.12,6.72,445,4128,Yes
1124,0.21,0,0,0.21,0.05,1.75,11,184,Yes
1125,0.21,0,0,0.21,0.05,1.75,11,184,Yes
1126,0.18,0,0.4,0.4,0.09,5.68,49,392,Yes
1127,0,0,0,0,0,2.1,10,204,Yes
1128,0,0,4.35,0,0,3,7,9,Yes
1129,0.04,0,0.04,0.18,0,2.34,66,264,Yes
1130,0.04,0,0.04,0.18,0,2.34,66,264,Yes
1131,0.05,0,0.26,0.26,0.07,3.08,62,526,Yes
1132,0,0,0.8,0,0,5.11,107,179,Yes
1133,0,0,0.87,0,0,5.11,107,179,Yes
1134,0.05,0,0.14,0,0.14,4.89,139,274,Yes
1135,0,0,0.54,0,0,5,15,50,Yes
1136,0,0,0.65,0.12,0,1.53,13,75,Yes
1137,0.21,0,0.36,0.31,0,7.54,192,543,Yes
1138,0.09,0.03,0.1,0.01,0,4.07,48,574,Yes
1139,0.69,0,0.33,0,0,5.55,71,566,Yes
1142,0.09,0.03,0.1,0.01,0,4.07,48,574,Yes
1143,0,0,1.9,0.48,0,1.76,11,67,Yes
1144,0,0,0.05,0.05,0,18.37,134,496,Yes
1145,0.2,0,1.25,0.2,0.07,58.71,842,998,Yes
1146,0,0,0.11,0,0,1.42,7,54,Yes
1147,0,0,0.41,0,0,4.31,15,56,Yes
1148,0.04,0,5.92,1.33,0,5.8,54,725,Yes
1149,0,0,0.12,0,0,2.06,12,99,Yes
1150,0,0,0.3,0.6,0,3.33,12,30,Yes
1152,0,0,0.12,0,0,2.06,12,99,Yes
1153,0.03,0,0.25,0.07,0,1.76,37,766,Yes
1154,0,0.06,0.06,0.12,0,4.73,57,208,Yes
1155,0,0,0.71,0.21,0,1.9,13,118,Yes
1156,0.19,0,0.9,5.3,0,7.48,92,344,Yes
1157,0.12,0.01,0.43,0.11,0,3.37,87,1645,Yes
1158,0.19,0,0.9,5.3,0,7.48,92,344,Yes
1159,0,0,0,0,0,4.72,57,85,Yes
1160,0,0,0.56,0,0,104.67,311,314,Yes
1162,0.07,0,0.33,0.86,0.16,5.93,199,3160,Yes
1163,0,0,1.56,0,0,5,95,170,Yes
1164,0,0,1.21,0.26,0,5.56,76,189,Yes
1165,0.07,0,0.48,0.55,0,3.17,19,114,Yes
1166,0.26,0,1.21,0.35,0,4.76,140,200,Yes
1167,0.26,0,1.21,0.35,0,4.76,140,200,Yes
1168,0.2,0,1.25,0.2,0.07,62.5,845,1000,Yes
1170,0.16,0,0.37,0.06,0,2.89,84,477,Yes
1172,0.07,0,0.33,0.78,0.16,6.05,193,3059,Yes
1173,0.14,0,0.14,0,0,5.81,46,122,Yes
1174,0,0,1.94,0,0,1.38,8,40,Yes
1175,0,0,1.95,0,0,1.38,8,40,Yes
1176,0,0,1.95,0,0,1.38,8,40,Yes
1177,0.07,0,0.59,0.19,0.02,2.35,31,477,Yes
1178,0,0,0.5,0.06,0,1.82,12,91,Yes
1179,0,0,0.14,0.18,0,8.21,30,435,Yes
1180,0.52,0,0,0.69,0,4.94,25,84,Yes
